word,is_passed
abandon,False
abandoned,False
ability,False
able,False
about,False
above,True
abroad,False
absence,False
absent,False
absolute,False
absolutely,False
absorb,False
abuse,False
academic,False
accent,False
accept,False
acceptable,False
access,True
accident,True
accidental,False
accidentally,True
accommodation,False
accompany,False
according to,False
account,False
account for,False
accurate,False
accurately,False
accuse,False
achieve,False
achievement,False
acid,False
acknowledge,False
a couple,False
acquire,False
across,False
act,True
action,False
active,True
actively,False
activity,False
actor,False
actress,False
actual,False
actually,False
ad,False
adapt,False
add,False
addition,False
additional,False
add on,False
address,False
add up,False
add up to,False
adequate,False
adequately,False
adjust,False
admiration,True
admire,False
admit,False
adopt,False
adult,False
advance,False
advanced,False
advantage,False
adventure,False
advert,False
advertise,False
advertisement,False
advertising,False
advice,False
advise,False
affair,False
affect,False
affection,False
afford,True
afraid,False
after,False
afternoon,False
afterwards,False
again,False
against,False
age,True
aged,False
agency,False
agent,False
aggressive,False
ago,False
agree,True
agreement,False
ahead,False
aid,False
aim,False
air,True
aircraft,False
airport,False
alarm,False
alarmed,False
alarming,False
alcohol,False
alcoholic,True
alive,False
all,False
allied,False
allow,False
allow for,False
all right,False
ally,False
almost,False
alone,True
along,False
alongside,False
aloud,False
alphabet,False
alphabetical,False
alphabetically,False
already,False
also,False
alter,False
alternative,False
alternatively,False
although,False
altogether,False
always,False
a.m.,False
amaze,False
amazed,False
amazing,False
ambition,False
ambulance,False
among,False
amount,True
amount to,False
amuse,False
amused,False
amusing,False
analyse,False
analysis,False
ancient,False
and,True
anger,False
angle,False
angrily,False
angry,False
animal,False
ankle,False
anniversary,False
announce,False
annoy,False
annoyed,False
annoying,False
annual,False
annually,True
another,False
answer,False
anti-,False
anticipate,True
anxiety,False
anxious,False
anxiously,False
any,False
anybody,False
anyone,False
anything,False
anyway,True
anywhere,False
apart,False
apart from,False
apartment,False
apologize,False
apparent,False
apparently,False
appeal,False
appear,False
appearance,False
apple,False
application,False
apply,False
appoint,False
appointment,False
appreciate,True
approach,False
appropriate,False
approval,False
approve,False
approving,False
approximate,False
approximately,False
April,True
area,False
argue,False
argument,False
arise,True
arm,False
armed,False
arms,False
army,False
around,False
arrange,False
arrangement,False
arrest,False
arrival,False
arrive,False
arrive at,False
arrow,False
art,False
article,False
artificial,False
artificially,False
artist,False
artistic,False
artistically,False
as,False
ashamed,False
aside,False
aside from,False
ask,False
asleep,True
aspect,True
assist,False
assistance,False
assistant,False
associate,False
associated,False
association,False
assume,False
assure,False
at,False
atmosphere,False
atom,False
attach,True
attached,False
attack,False
attempt,False
attempted,False
attend,False
attend to,False
attention,False
attitude,False
attorney,False
attract,False
attraction,False
attractive,False
audience,False
August,False
aunt,False
author,True
authority,False
automatic,False
automatically,False
autumn,False
available,False
average,False
avoid,False
awake,False
award,False
aware,False
away,False
awful,False
awfully,True
awkward,False
awkwardly,False
baby,False
back,False
background,False
back up,False
backward,False
backwards,False
bacteria,False
bad,False
badly,False
bad-tempered,False
bag,False
baggage,True
bake,True
balance,False
ball,False
ban,False
band,False
bandage,False
bank,False
bar,False
bargain,False
barrier,False
base,False
based,False
base on,True
basic,False
basically,True
basis,False
bath,False
bathroom,False
battery,False
battle,False
bay,False
be,False
beach,False
beak,False
bear,False
beard,False
beat,False
beat up,False
beautiful,False
beautifully,False
beauty,False
because,False
because of,False
become,False
bed,False
bedroom,True
beef,False
beer,False
before,False
begin,False
beginning,False
behalf,True
behave,False
behaviour,False
behind,False
be left over,False
belief,False
believe,False
believe in,False
bell,False
belong,True
belong to,False
below,False
belt,True
bend,False
beneath,False
benefit,False
bent,False
beside,False
best,False
bet,False
better,False
betting,False
between,False
beyond,False
bicycle,False
bid 1,False
big,False
bike,False
bill,False
billion,False
bin,False
biology,False
bird,False
birth,False
birthday,False
biscuit,False
bit,False
bite,False
bitter,False
bitterly,False
black,False
blade,False
blame,True
blank,False
blind,False
block,False
blonde,False
blood,False
blow,False
blow out,False
blow up,False
blue,False
board,True
boat,True
body,False
boil,False
bomb,False
bone,False
book,False
boot,False
border,False
bore,False
bored,False
boring,False
born,False
borrow,True
boss,False
both,False
bother,False
bottle,False
bottom,False
bound,False
bowl,False
box,False
boy,True
boyfriend,False
brain,False
branch,False
brand,False
brave,False
bread,False
break,False
break down,False
breakfast,False
break in,False
break into,False
break off,False
break out,False
break up,False
breast,False
breath,False
breathe,False
breathe in,False
breathe out,False
breathing,False
breed,False
brick,False
bridge,False
brief,False
